,KNN,RF,SVM
0,0.8653846153846154,0.8461538461538461,0.8461538461538461
1,0.9230769230769231,0.9038461538461539,0.9038461538461539
2,0.9411764705882353,0.9019607843137255,0.9215686274509803
3,0.8846153846153846,0.7884615384615384,0.8846153846153846
4,0.9230769230769231,0.8461538461538461,0.9038461538461539
5,0.9230769230769231,0.8269230769230769,0.8846153846153846
6,0.9423076923076923,0.8846153846153846,0.9423076923076923
7,0.9230769230769231,0.8653846153846154,0.9038461538461539
8,0.8653846153846154,0.8461538461538461,0.9038461538461539
9,0.9019607843137255,0.8627450980392157,0.9215686274509803
mean,0.9093137254901962,0.8572398190045247,0.9016214177978885
std,0.027175625140981204,0.033221131363057065,0.024750787693747316
